"Title","Floor Scheme Image","Floor Scheme PDF","Structure Type","Number of Floors","Gross Heigh"
"Project 025","wix:image://v1/b4bae9_9b06bc394e48498bbeb02d414a00e464~mv2.png/Project%20025.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_b8bfbde38dd2446f9d09e6b3ca3f686a.pdf/Project%20025.pdf","Residential",20,3
"Project 006","wix:image://v1/b4bae9_d4cfbcd10eef47948e409287f628a57d~mv2.png/Project%20006.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_05692b5c09ce41aa8af1b8ddbf28a1e1.pdf/Project%20006.pdf","Residential",13,3.1
"Project 017","wix:image://v1/b4bae9_b55886c3c29a43be99dfc5e6e8619af2~mv2.png/Project%20017.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_9f9ef8656f054ee7a501f88b758b5cbf.pdf/Project%20017.pdf","Residential",17,3
"Project 034","wix:image://v1/b4bae9_f38117b1897c40bdb93094d92f78c4d8~mv2.png/Project%20034.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_ba157abbc50644bda7b90a7a7ab991f4.pdf/Project%20034.pdf","Residential",8,3
"Project 007","wix:image://v1/b4bae9_368b349417564f96a60008137e838197~mv2.png/Project%20007.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_63462d22b8754c5dac8ee364e9fa689c.pdf/Project%20007.pdf","Residential",12,3
"Project 042","wix:image://v1/b4bae9_e225d79f1b584763aa53776a1ccc5012~mv2.png/Project%20042.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_f8427f5ee1a54b58ad11a0afcd549b47.pdf/Project%20042.pdf","Residential",5,3.1
"Project 001","wix:image://v1/b4bae9_4881c9f8d4fa48e39632ed0ae1b77307~mv2.png/Project%20001.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_039a1e7767924ffbbe20fd1d8917e6d4.pdf/Project%20001.pdf","Residential",15,3.07
"Project 048","wix:image://v1/b4bae9_7f42ee11e234417d908ef1a9a49298e5~mv2.png/Project%20048.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_3a7212f985c74908ba6f289919a61e28.pdf/Project%20048.pdf","Commercial",10,4
"Project 036","wix:image://v1/b4bae9_bc78dc018fc84da681b2fd2cee5c7a25~mv2.png/Project%20036.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_64c18ba2ebe54e21b826ffe02ccaaaad.pdf/Project%20036.pdf","Residential",9,3
"Project 041","wix:image://v1/b4bae9_0d60448a00d04f0192aa28aabb5d8495~mv2.png/Project%20041.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_ad0fc30193f04dad820a9e4253f39fab.pdf/Project%20041.pdf","Commercial",12,3.8
"Project 029","wix:image://v1/b4bae9_4b1133fe84074050a0314eca9cf425df~mv2.png/Project%20029.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_dcb5f1b5d6504c76b3b71c699c4302d3.pdf/Project%20029.pdf","Commercial",15,3.5
"Project 047","wix:image://v1/b4bae9_809f72107db84a398393ddcc07024166~mv2.png/Project%20047.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_cbe147705d4e4ddbb98f112f3ebaa094.pdf/Project%20047.pdf","Residential",6,3.15
"Project 019","wix:image://v1/b4bae9_415de66241164dd7a1b2de5f6a5e9b13~mv2.png/Project%20019.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_9de5c3dd5e8a45ffa1e2192af4b801b1.pdf/Project%20019.pdf","Residential",8,3
"Project 028","wix:image://v1/b4bae9_bb4df38307404c1ea1a2f5ba6b203724~mv2.png/Project%20028.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_cf36d5c5d1654a2386f9798a4344c484.pdf/Project%20028.pdf","Residential",30,3.18
"Project 020","wix:image://v1/b4bae9_98ac32d94c784f9e80dd68d9a707e308~mv2.png/Project%20020.png#originWidth=15000&originHeight=10607","wix:document://v1/ugd/b4bae9_4b45d8aac6e3447186d9528b7a397b3b.pdf/Project%20020.pdf","Commercial",8,4
"Project 033","wix:image://v1/b4bae9_634fc08a71c6418f91cf7c0db6e8c2d2~mv2.png/Project%20033.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_d760b7e7b2bd41a3ba52622a17388445.pdf/Project%20033.pdf","Residential",16,3
"Project 023","wix:image://v1/b4bae9_59b21676f5ec4a1981aae294d2ec99c4~mv2.png/Project%20023.png#originWidth=15000&originHeight=10607","wix:document://v1/ugd/b4bae9_a3e063c7ba894e1d9b02a9d5e62f0963.pdf/Project%20023.pdf","Commercial",18,3.08
"Project 014","wix:image://v1/b4bae9_aea04cefbc834f3bbce6b53af95a5f8d~mv2.png/Project%20014.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_bc9b9c9188954d19a2b98090fd6ee851.pdf/Project%20014.pdf","Residential",9,3.15
"Project 021","wix:image://v1/b4bae9_e050a874d255431b9204c14a3f4c2b50~mv2.png/Project%20021.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_4c31be6958c241b7ac6e48cf8ca8948c.pdf/Project%20021.pdf","Residential",18,3.6
"Project 018","wix:image://v1/b4bae9_361683881b344d948b3df18f405657da~mv2.png/Project%20018.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_d92ddf8cfa1347258fdf33e0610bdf0d.pdf/Project%20018.pdf","Residential",17,4.125
"Project 044","wix:image://v1/b4bae9_4d23958e78c44bffab6b4f398fe7ecf1~mv2.png/Project%20044.png#originWidth=15000&originHeight=10607","wix:document://v1/ugd/b4bae9_3b2cadf9f7e54bdcbc869452c59adccf.pdf/Project%20044.pdf","Commercial",9,4.5
"Project 010","wix:image://v1/b4bae9_a70fcde5d4f94708b902f36582816391~mv2.png/Project%20010.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_93c9e1f482374b24b05551dd564b8433.pdf/Project%20010.pdf","Residential",9,3.15
"Project 024","wix:image://v1/b4bae9_fbf30d30a4d44457921d814c6b2ab772~mv2.png/Project%20024.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_ed1c7c8aa271412a8213d6d47d12e802.pdf/Project%20024.pdf","Commercial",15,4
"Project 035","wix:image://v1/b4bae9_9f19ec659b574b3eb9cf1249e5a82b0a~mv2.png/Project%20035.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_2f2de832bda34198bfb2e401029b75cb.pdf/Project%20035.pdf","Residential",17,3.2
"Project 012","wix:image://v1/b4bae9_f2afd22de6c84084a3cc8fc0e58aaddb~mv2.png/Project%20012.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_74d0f24d0a6d4d8f9f7cbc81a11e688d.pdf/Project%20012.pdf","Residential",15,2.97
"Project 043","wix:image://v1/b4bae9_9dabaf1a552d4a0b83be76afb6b292bc~mv2.png/Project%20043.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_5932e7e936b741e19a1da87a559d1da1.pdf/Project%20043.pdf","Residential",18,3
"Project 008","wix:image://v1/b4bae9_dba6e092b5084827803e22c190a12a5c~mv2.png/Project%20008.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_7023f8692a36413db9be9029724f157e.pdf/Project%20008.pdf","Residential",12,3
"Project 002","wix:image://v1/b4bae9_65eaeb825f8648efab376aa5a74d9136~mv2.png/Project%20002.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_0e5cc0f2a47e4be899f58f8768995a66.pdf/Project%20002.pdf","Residential",14,3.16
"Project 032","wix:image://v1/b4bae9_628ac669bf124ea0ad384bdb0272dbf7~mv2.png/Project%20032.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_caac7f233e0a483dabaa30fdf9976bce.pdf/Project%20032.pdf","Residential",10,3.2
"Project 004","wix:image://v1/b4bae9_47460c8541284213b3a0c0a849f24fbb~mv2.png/Project%20004.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_909e9e4fee4c479fa7d025c50e1d7535.pdf/Project%20004.pdf","Commercial",20,3.3
"Project 040","wix:image://v1/b4bae9_b412dceefef44d79825fa6a81753312b~mv2.png/Project%20040.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_4851893c9396469599708567a31c8268.pdf/Project%20040.pdf","Residential",15,2.85
"Project 038","wix:image://v1/b4bae9_e49b027da92b441483b612deff6ad0a3~mv2.png/Project%20038.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_228fb8ca0fcf427d9e15d5c94b41a938.pdf/Project%20038.pdf","Residential",10,3
"Project 005","wix:image://v1/b4bae9_669dd6bd806b4b59a02f47c4cd916e61~mv2.png/Project%20005.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_968d52f8c1484be1acb2191ac4972cf3.pdf/Project%20005.pdf","Commercial",8,3.5
"Project 030","wix:image://v1/b4bae9_e38636497bee446c9ed394bc4aa177dc~mv2.png/Project%20030.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_1b1a1af4dad342b5aa7c00643768d6ee.pdf/Project%20030.pdf","Residential",12,3.7
"Project 027","wix:image://v1/b4bae9_6ba5b120360f43ff9de22888a581395a~mv2.png/Project%20027.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_0d8f1ba668974fd0ac80ef371e4d480c.pdf/Project%20027.pdf","Residential",9,3.2
"Project 026","wix:image://v1/b4bae9_27e9223b2e8144b9af26904a9a054d7d~mv2.png/Project%20026.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_979a975c7f8343c8b60ee85ddfef5e1c.pdf/Project%20026.pdf","Residential",17,3
"Project 046","wix:image://v1/b4bae9_a86135d062854e5db7299c41d104cbc9~mv2.png/Project%20046.png#originWidth=14031&originHeight=9920","wix:document://v1/ugd/b4bae9_f6da76a88571453e99207e3b0ab42d61.pdf/Project%20046.pdf","Commercial",15,3.5
"Project 003","wix:image://v1/b4bae9_17de311ce6ad4773ae0fc49f9ccf15e6~mv2.png/Project%20003.png#originWidth=9921&originHeight=7015","wix:document://v1/ugd/b4bae9_2f6656cfd68843b4982d2f1a2af5d643.pdf/Project%20003.pdf","Residential",14,3.12
